timestamp, value
08:42:10, 0.5
08:42:11, 0.5
08:42:12, 0.5
08:42:13, 0.5
08:42:14, 0.5
08:42:15, 0.5
08:42:16, 0.5
08:42:17, 0.5
08:42:18, 0.6
08:42:19, 0.6
08:42:20, 0.6
08:42:21, 0.6
08:42:22, 0.6
08:42:23, 0.6
08:42:24, 0.6
08:42:25, 0.6
08:42:26, 0.6
08:42:27, 0.6
08:42:28, 0.6
08:42:29, 0.6
08:42:30, 0.6
08:42:31, 0.6
08:42:32, 0.6
08:42:33, 0.6
08:42:34, 0.6
08:42:35, 0.6
08:42:36, 0.6
08:42:37, 0.6
08:42:38, 0.6
08:42:39, 0.6
08:42:40, 0.6
08:42:41, 0.6
08:42:42, 0.6
08:42:43, 0.6
08:42:44, 0.6
08:42:45, 0.6
08:42:46, 0.6
08:42:47, 0.6
08:42:48, 0.6
08:42:49, 0.6
08:42:50, 0.6
08:42:51, 0.6
08:42:52, 0.6
08:42:53, 0.6
08:42:54, 0.6
08:42:55, 0.6
08:42:56, 0.6
08:42:57, 0.6
08:42:58, 0.6
08:42:59, 0.6
08:43:00, 0.6
08:43:01, 0.6
08:43:02, 0.6
08:43:03, 0.6
08:43:04, 0.6
08:43:05, 0.6
08:43:06, 0.6
08:43:07, 0.6
08:43:08, 0.6
08:43:09, 0.6
08:43:10, 0.6
08:43:11, 0.6
08:43:12, 0.6
08:43:13, 0.6
08:43:14, 0.6
08:43:15, 0.6
08:43:16, 0.6
08:43:17, 0.6
08:43:18, 0.6
08:43:19, 0.6
08:43:20, 0.6
08:43:21, 0.6
08:43:22, 0.6
08:43:23, 0.6
08:43:24, 0.6
08:43:25, 0.6
08:43:26, 0.6
08:43:27, 0.6
08:43:28, 0.6
08:43:29, 0.6
08:43:30, 0.6
08:43:31, 0.6
08:43:32, 0.6
08:43:33, 0.6
08:43:34, 0.6
08:43:35, 0.6
08:43:36, 0.6
08:43:37, 0.6
08:43:38, 0.6
08:43:39, 0.5
08:43:40, 0.6
08:43:41, 0.5
08:43:42, 0.5
08:43:43, 0.5
08:43:44, 0.5
08:43:45, 0.5
08:43:46, 0.5
08:43:47, 0.5
08:43:48, 0.5
08:43:49, 0.5
08:43:50, 0.5
08:43:51, 0.5
08:43:52, 0.5
08:43:53, 0.5
08:43:54, 0.5
08:43:55, 0.5
08:43:56, 0.5
08:43:57, 0.5
08:43:58, 0.5
08:43:59, 0.5
08:44:00, 0.5
08:44:01, 0.5
08:44:02, 0.5
08:44:03, 0.5
08:44:04, 0.5
08:44:05, 0.5
08:44:06, 0.5
08:44:07, 0.5
08:44:08, 0.5
08:44:09, 0.5
08:44:10, 0.5
08:44:11, 0.5
08:44:12, 0.5
08:44:13, 0.5
08:44:14, 0.5
08:44:15, 0.5
08:44:16, 0.5
08:44:17, 0.5
08:44:18, 0.5
08:44:19, 0.5
08:44:20, 0.5
08:44:21, 0.5
08:44:22, 0.5
08:44:23, 0.5
08:44:24, 0.5
08:44:25, 0.5
08:44:26, 0.5
08:44:27, 0.5
08:44:28, 0.5
08:44:29, 0.5
08:44:30, 0.5
08:44:31, 0.5
08:44:32, 0.5
08:44:33, 0.5
